TimeStamp,Value
Thu Apr 09 08:37:20 CDT 2015,0.51953125
Thu Apr 09 08:37:24 CDT 2015,2.181640625
Thu Apr 09 08:37:25 CDT 2015,0.2747395833333333
Thu Apr 09 08:37:26 CDT 2015,0.6171875
Thu Apr 09 08:37:27 CDT 2015,0.296875
Thu Apr 09 08:37:28 CDT 2015,0.26953125
Thu Apr 09 08:37:29 CDT 2015,1.296875
Thu Apr 09 08:37:30 CDT 2015,0.82421875
Thu Apr 09 08:37:32 CDT 2015,2.578125
Thu Apr 09 08:37:33 CDT 2015,0.26953125
Thu Apr 09 08:37:34 CDT 2015,1.4921875
Thu Apr 09 08:37:35 CDT 2015,1.34765625
Thu Apr 09 08:37:36 CDT 2015,0.509765625
Thu Apr 09 08:37:37 CDT 2015,0.3255208333333333
Thu Apr 09 08:37:38 CDT 2015,0.48046875
Thu Apr 09 08:37:40 CDT 2015,1.01171875
Thu Apr 09 08:37:41 CDT 2015,0.369140625
Thu Apr 09 08:37:42 CDT 2015,0.5703125
Thu Apr 09 08:37:43 CDT 2015,0.28125
Thu Apr 09 08:37:44 CDT 2015,0.3151041666666667
Thu Apr 09 08:37:45 CDT 2015,0.3515625
Thu Apr 09 08:37:46 CDT 2015,0.3307291666666667
Thu Apr 09 08:37:47 CDT 2015,0.3346354166666667
Thu Apr 09 08:37:48 CDT 2015,0.369140625
Thu Apr 09 08:37:49 CDT 2015,0.41015625
Thu Apr 09 08:37:50 CDT 2015,0.509765625
Thu Apr 09 08:37:52 CDT 2015,1.6171875
Thu Apr 09 08:37:54 CDT 2015,2.77734375
Thu Apr 09 08:37:55 CDT 2015,0.31640625
Thu Apr 09 08:37:58 CDT 2015,1.1484375
Thu Apr 09 08:37:59 CDT 2015,0.59375
Thu Apr 09 08:38:03 CDT 2015,1.4739583333333333
Thu Apr 09 08:38:04 CDT 2015,0.26953125
Thu Apr 09 08:38:05 CDT 2015,0.26953125
Thu Apr 09 08:38:06 CDT 2015,0.841796875
Thu Apr 09 08:38:07 CDT 2015,0.35546875
Thu Apr 09 08:38:08 CDT 2015,0.3372395833333333
Thu Apr 09 08:38:09 CDT 2015,0.3385416666666667
Thu Apr 09 08:38:10 CDT 2015,0.3658854166666667
Thu Apr 09 08:38:11 CDT 2015,0.66015625
Thu Apr 09 08:38:12 CDT 2015,0.4453125
Thu Apr 09 08:38:17 CDT 2015,3.99609375
Thu Apr 09 08:38:18 CDT 2015,0.4661458333333333
Thu Apr 09 08:38:19 CDT 2015,0.26953125
Thu Apr 09 08:38:20 CDT 2015,1.10546875
Thu Apr 09 08:38:22 CDT 2015,1.7109375
Thu Apr 09 08:38:23 CDT 2015,1.73828125
Thu Apr 09 08:38:24 CDT 2015,0.33203125
Thu Apr 09 08:38:25 CDT 2015,0.9765625
Thu Apr 09 08:38:29 CDT 2015,1.34375
Thu Apr 09 08:38:30 CDT 2015,0.333984375
Thu Apr 09 08:38:32 CDT 2015,1.6953125
Thu Apr 09 08:38:33 CDT 2015,1.46484375
Thu Apr 09 08:38:34 CDT 2015,0.328125
Thu Apr 09 08:38:36 CDT 2015,1.78125
Thu Apr 09 08:38:37 CDT 2015,0.7890625
Thu Apr 09 08:38:38 CDT 2015,0.890625
Thu Apr 09 08:38:39 CDT 2015,0.92578125
Thu Apr 09 08:38:40 CDT 2015,0.603515625
Thu Apr 09 08:38:41 CDT 2015,0.328125
Thu Apr 09 08:38:42 CDT 2015,0.4140625
Thu Apr 09 08:38:44 CDT 2015,0.5263671875
Thu Apr 09 08:38:45 CDT 2015,0.390625
Thu Apr 09 08:38:46 CDT 2015,1.5234375
Thu Apr 09 08:38:47 CDT 2015,0.38671875
Thu Apr 09 08:38:49 CDT 2015,0.7669270833333334
Thu Apr 09 08:38:50 CDT 2015,0.26953125
Thu Apr 09 08:38:51 CDT 2015,0.296875
Thu Apr 09 08:38:52 CDT 2015,0.8515625
Thu Apr 09 08:38:54 CDT 2015,1.0703125
Thu Apr 09 08:38:55 CDT 2015,0.380859375
Thu Apr 09 08:38:58 CDT 2015,2.9453125
Thu Apr 09 08:38:59 CDT 2015,1.30078125
Thu Apr 09 08:39:01 CDT 2015,1.5078125
Thu Apr 09 08:39:02 CDT 2015,0.7265625
Thu Apr 09 08:39:03 CDT 2015,0.42578125
Thu Apr 09 08:39:05 CDT 2015,1.099609375
Thu Apr 09 08:39:06 CDT 2015,0.52734375
Thu Apr 09 08:39:07 CDT 2015,0.96484375
Thu Apr 09 08:39:11 CDT 2015,1.26171875
Thu Apr 09 08:39:13 CDT 2015,2.078125
Thu Apr 09 08:39:15 CDT 2015,0.6276041666666666
Thu Apr 09 08:39:16 CDT 2015,0.89453125
Thu Apr 09 08:39:17 CDT 2015,0.80078125
Thu Apr 09 08:39:18 CDT 2015,0.55078125
Thu Apr 09 08:39:20 CDT 2015,2.28125
Thu Apr 09 08:39:21 CDT 2015,0.2877604166666667
Thu Apr 09 08:39:22 CDT 2015,0.560546875
Thu Apr 09 08:39:23 CDT 2015,0.2900390625
Thu Apr 09 08:39:24 CDT 2015,0.3359375
Thu Apr 09 08:39:25 CDT 2015,0.26953125
Thu Apr 09 08:39:27 CDT 2015,1.080078125
Thu Apr 09 08:39:28 CDT 2015,0.59375
Thu Apr 09 08:39:31 CDT 2015,3.11328125
Thu Apr 09 08:39:33 CDT 2015,1.97265625
Thu Apr 09 08:39:34 CDT 2015,0.2734375
Thu Apr 09 08:39:36 CDT 2015,1.041015625
Thu Apr 09 08:39:37 CDT 2015,0.4375
Thu Apr 09 08:39:39 CDT 2015,2.53515625
Thu Apr 09 08:39:40 CDT 2015,0.3046875
Thu Apr 09 08:39:41 CDT 2015,0.294921875
Thu Apr 09 08:39:44 CDT 2015,1.716796875
Thu Apr 09 08:39:45 CDT 2015,0.26953125
Thu Apr 09 08:39:46 CDT 2015,0.984375
Thu Apr 09 08:39:47 CDT 2015,1.3203125
Thu Apr 09 08:39:48 CDT 2015,0.26953125
Thu Apr 09 08:39:49 CDT 2015,0.92578125
Thu Apr 09 08:39:53 CDT 2015,3.99609375
Thu Apr 09 08:39:54 CDT 2015,0.26953125
Thu Apr 09 08:39:56 CDT 2015,2.37109375
Thu Apr 09 08:39:57 CDT 2015,0.28125
Thu Apr 09 08:40:01 CDT 2015,1.4309895833333333
Thu Apr 09 08:40:02 CDT 2015,0.26953125
Thu Apr 09 08:40:03 CDT 2015,0.333984375
Thu Apr 09 08:40:04 CDT 2015,0.51953125
Thu Apr 09 08:40:06 CDT 2015,0.8059895833333334
Thu Apr 09 08:40:07 CDT 2015,0.427734375
Thu Apr 09 08:40:08 CDT 2015,0.3984375
Thu Apr 09 08:40:09 CDT 2015,0.4153645833333333
Thu Apr 09 08:40:10 CDT 2015,0.3684895833333333
Thu Apr 09 08:40:11 CDT 2015,0.3177083333333333
Thu Apr 09 08:40:12 CDT 2015,0.33203125
Thu Apr 09 08:40:14 CDT 2015,0.8125
Thu Apr 09 08:40:15 CDT 2015,0.53515625
Thu Apr 09 08:40:20 CDT 2015,3.99609375
Thu Apr 09 08:40:22 CDT 2015,1.83203125
Thu Apr 09 08:40:23 CDT 2015,0.42578125
Thu Apr 09 08:40:24 CDT 2015,0.3671875
Thu Apr 09 08:40:26 CDT 2015,0.671875
Thu Apr 09 08:40:27 CDT 2015,0.5625
Thu Apr 09 08:40:28 CDT 2015,0.26953125
Thu Apr 09 08:40:30 CDT 2015,0.8684895833333334
Thu Apr 09 08:40:31 CDT 2015,0.53515625
Thu Apr 09 08:40:32 CDT 2015,0.26953125
Thu Apr 09 08:40:33 CDT 2015,0.84375
Thu Apr 09 08:40:34 CDT 2015,0.697265625
Thu Apr 09 08:40:35 CDT 2015,0.541015625
Thu Apr 09 08:44:45 CDT 2015,2.1328125
Thu Apr 09 08:44:46 CDT 2015,0.33203125
Thu Apr 09 08:44:47 CDT 2015,0.658203125
Thu Apr 09 08:44:48 CDT 2015,0.26953125
Thu Apr 09 08:44:49 CDT 2015,0.2760416666666667
Thu Apr 09 08:44:50 CDT 2015,0.3450520833333333
Thu Apr 09 08:44:51 CDT 2015,0.3580729166666667
Thu Apr 09 08:44:52 CDT 2015,0.7734375
Thu Apr 09 08:44:54 CDT 2015,1.07421875
Thu Apr 09 08:44:55 CDT 2015,0.58203125
Thu Apr 09 08:44:59 CDT 2015,1.3489583333333333
Thu Apr 09 08:45:03 CDT 2015,1.3177083333333333
Thu Apr 09 08:45:04 CDT 2015,0.7890625
Thu Apr 09 08:45:06 CDT 2015,1.8359375
Thu Apr 09 08:45:07 CDT 2015,0.57421875
Thu Apr 09 08:45:08 CDT 2015,0.904296875
Thu Apr 09 08:45:09 CDT 2015,0.3385416666666667
Thu Apr 09 08:45:10 CDT 2015,0.796875
Thu Apr 09 08:45:11 CDT 2015,0.50390625
Thu Apr 09 08:45:12 CDT 2015,0.2786458333333333
Thu Apr 09 08:45:14 CDT 2015,1.7578125
Thu Apr 09 08:45:15 CDT 2015,0.80078125
Thu Apr 09 08:45:16 CDT 2015,0.5533854166666666
Thu Apr 09 08:45:17 CDT 2015,0.431640625
Thu Apr 09 08:45:18 CDT 2015,0.4231770833333333
Thu Apr 09 08:45:19 CDT 2015,0.76171875
Thu Apr 09 08:45:20 CDT 2015,0.4361979166666667
Thu Apr 09 08:45:21 CDT 2015,0.419921875
Thu Apr 09 08:45:23 CDT 2015,1.1953125
Thu Apr 09 08:45:25 CDT 2015,1.3203125
Thu Apr 09 08:45:26 CDT 2015,1.02734375
Thu Apr 09 08:45:27 CDT 2015,0.3880208333333333
Thu Apr 09 08:45:28 CDT 2015,0.30859375
Thu Apr 09 08:45:29 CDT 2015,0.796875
Thu Apr 09 08:45:30 CDT 2015,0.28515625
Thu Apr 09 08:45:32 CDT 2015,2.43359375
Thu Apr 09 08:45:33 CDT 2015,0.4830729166666667
Thu Apr 09 08:45:36 CDT 2015,1.31640625
Thu Apr 09 08:45:37 CDT 2015,0.44921875
Thu Apr 09 08:45:38 CDT 2015,1.71875
Thu Apr 09 08:45:39 CDT 2015,1.2421875
Thu Apr 09 08:45:43 CDT 2015,1.99609375
Thu Apr 09 08:45:44 CDT 2015,0.31640625
Thu Apr 09 08:45:45 CDT 2015,0.26953125
Thu Apr 09 08:45:46 CDT 2015,0.3294270833333333
Thu Apr 09 08:45:48 CDT 2015,0.56640625
Thu Apr 09 08:45:49 CDT 2015,0.61328125
Thu Apr 09 08:45:50 CDT 2015,0.53125
Thu Apr 09 08:45:52 CDT 2015,1.26171875
Thu Apr 09 08:45:53 CDT 2015,0.39453125
Thu Apr 09 08:45:56 CDT 2015,0.8056640625
Thu Apr 09 08:45:57 CDT 2015,0.26953125
Thu Apr 09 08:45:58 CDT 2015,1.04296875
Thu Apr 09 08:46:00 CDT 2015,1.166015625
Thu Apr 09 08:46:01 CDT 2015,1.23046875
Thu Apr 09 08:46:03 CDT 2015,0.93359375
Thu Apr 09 08:46:05 CDT 2015,2.1640625
Thu Apr 09 08:46:06 CDT 2015,0.447265625
Thu Apr 09 08:46:07 CDT 2015,0.34375
Thu Apr 09 08:46:08 CDT 2015,0.3645833333333333
Thu Apr 09 08:46:09 CDT 2015,0.37890625
Thu Apr 09 08:46:10 CDT 2015,1.65234375
Thu Apr 09 08:46:11 CDT 2015,0.29296875
Thu Apr 09 08:46:12 CDT 2015,0.431640625
Thu Apr 09 08:46:14 CDT 2015,2.0390625
Thu Apr 09 08:46:15 CDT 2015,0.6484375
Thu Apr 09 08:46:16 CDT 2015,0.947265625
Thu Apr 09 08:46:17 CDT 2015,0.40625
Thu Apr 09 08:46:18 CDT 2015,0.49609375
Thu Apr 09 08:46:19 CDT 2015,0.546875
Thu Apr 09 08:46:20 CDT 2015,0.75390625
Thu Apr 09 08:46:21 CDT 2015,0.43359375
Thu Apr 09 08:46:24 CDT 2015,3.47265625
Thu Apr 09 08:46:25 CDT 2015,0.330078125
Thu Apr 09 08:46:26 CDT 2015,1.34765625
Thu Apr 09 08:46:27 CDT 2015,0.376953125
Thu Apr 09 08:46:28 CDT 2015,0.783203125
Thu Apr 09 08:46:29 CDT 2015,0.427734375
Thu Apr 09 08:46:30 CDT 2015,0.70703125
Thu Apr 09 08:46:31 CDT 2015,0.498046875
Thu Apr 09 08:46:32 CDT 2015,1.3359375
Thu Apr 09 08:46:33 CDT 2015,0.98046875
Thu Apr 09 08:46:34 CDT 2015,0.552734375
Thu Apr 09 08:46:36 CDT 2015,0.6497395833333334
