TimeStamp,Athelete,activity,breathingrate,breathingratestatus,cadence,expiration,heartrate,heartratestatus,inspiration,minuteventilation,rrinterval,tidalvolume,
Thu Apr 09 08:35:20 CDT 2015,1006,0.03515625,20,0,0,24505,70,32,null,15670.4,null,225.76,
Thu Apr 09 08:35:21 CDT 2015,1006,0.08203125,22,0,0,null,70,32,24561,11314.56,null,690.56,
Thu Apr 09 08:35:22 CDT 2015,1006,0.1171875,23,0,0,24509,70,32,null,11314.56,null,690.56,
Thu Apr 09 08:35:23 CDT 2015,1006,0.13671875,24,0,0,null,70,32,null,11314.56,null,690.56,
Thu Apr 09 08:35:24 CDT 2015,1006,0.10546875,24,0,0,null,70,32,24543,11407.519999999999,null,677.28,
Thu Apr 09 08:35:25 CDT 2015,1006,0.1328125,23,0,0,24457,70,32,null,11407.519999999999,null,677.28,
Thu Apr 09 08:35:26 CDT 2015,1006,0.18359375,23,0,0,null,70,32,24526,12416.8,null,1128.8,
Thu Apr 09 08:35:27 CDT 2015,1006,0.40234375,23,0,0,null,70,48,null,12416.8,null,1128.8,
Thu Apr 09 08:35:28 CDT 2015,1006,0.20703125,23,0,0,24422,70,48,null,12416.8,null,1128.8,
Thu Apr 09 08:35:29 CDT 2015,1006,0.16796875,23,0,0,null,70,32,24545,15896.16,null,1367.84,
Thu Apr 09 08:35:30 CDT 2015,1006,0.1328125,23,0,0,24515,70,32,null,15896.16,null,1367.84,
Thu Apr 09 08:35:31 CDT 2015,1006,0.125,24,0,0,null,70,32,24539,15896.16,null,1367.84,
Thu Apr 09 08:35:32 CDT 2015,1006,0.09375,24,0,0,null,70,32,null,16560.16,null,385.12,
Thu Apr 09 08:35:33 CDT 2015,1006,0.3515625,24,0,0,24486,70,32,null,16560.16,null,385.12,
Thu Apr 09 08:35:34 CDT 2015,1006,0.1015625,24,0,0,null,70,32,24539,18074.079999999998,null,690.56,
Thu Apr 09 08:35:35 CDT 2015,1006,0.0546875,24,0,0,null,70,32,null,18074.079999999998,null,690.56,
Thu Apr 09 08:35:36 CDT 2015,1006,0.08984375,25,0,0,24504,70,32,null,18074.079999999998,null,690.56,
Thu Apr 09 08:35:37 CDT 2015,1006,0.2578125,24,0,0,null,70,32,24534,17649.12,null,451.52,
Thu Apr 09 08:35:38 CDT 2015,1006,0.05078125,23,0,0,null,70,32,null,17649.12,null,451.52,
Thu Apr 09 08:35:39 CDT 2015,1006,0.12890625,23,0,0,24428,70,32,null,17649.12,null,451.52,
