TimeStamp,Value
Thu Apr 09 08:36:23 CDT 2015,32
Thu Apr 09 08:36:24 CDT 2015,32
Thu Apr 09 08:36:25 CDT 2015,32
Thu Apr 09 08:36:26 CDT 2015,32
Thu Apr 09 08:36:27 CDT 2015,32
Thu Apr 09 08:36:28 CDT 2015,32
Thu Apr 09 08:36:29 CDT 2015,32
Thu Apr 09 08:36:30 CDT 2015,32
Thu Apr 09 08:36:31 CDT 2015,48
Thu Apr 09 08:36:32 CDT 2015,32
Thu Apr 09 08:36:33 CDT 2015,32
Thu Apr 09 08:36:34 CDT 2015,32
Thu Apr 09 08:36:35 CDT 2015,32
Thu Apr 09 08:36:36 CDT 2015,32
Thu Apr 09 08:36:37 CDT 2015,34
Thu Apr 09 08:36:38 CDT 2015,34
Thu Apr 09 08:36:39 CDT 2015,34
Thu Apr 09 08:36:40 CDT 2015,34
Thu Apr 09 08:36:41 CDT 2015,34
Thu Apr 09 08:36:42 CDT 2015,34
Thu Apr 09 08:36:43 CDT 2015,34
Thu Apr 09 08:36:44 CDT 2015,34
Thu Apr 09 08:36:45 CDT 2015,34
Thu Apr 09 08:36:46 CDT 2015,34
Thu Apr 09 08:36:47 CDT 2015,34
Thu Apr 09 08:36:48 CDT 2015,32
Thu Apr 09 08:36:49 CDT 2015,32
Thu Apr 09 08:36:50 CDT 2015,48
Thu Apr 09 08:36:51 CDT 2015,32
Thu Apr 09 08:36:52 CDT 2015,48
Thu Apr 09 08:36:53 CDT 2015,48
Thu Apr 09 08:36:54 CDT 2015,48
Thu Apr 09 08:36:55 CDT 2015,48
Thu Apr 09 08:36:56 CDT 2015,48
Thu Apr 09 08:36:57 CDT 2015,48
Thu Apr 09 08:36:58 CDT 2015,48
Thu Apr 09 08:36:59 CDT 2015,48
Thu Apr 09 08:37:00 CDT 2015,48
Thu Apr 09 08:37:01 CDT 2015,56
Thu Apr 09 08:37:02 CDT 2015,56
Thu Apr 09 08:37:03 CDT 2015,56
Thu Apr 09 08:37:04 CDT 2015,56
Thu Apr 09 08:37:05 CDT 2015,56
Thu Apr 09 08:37:06 CDT 2015,48
Thu Apr 09 08:37:07 CDT 2015,56
Thu Apr 09 08:37:08 CDT 2015,48
Thu Apr 09 08:37:09 CDT 2015,48
Thu Apr 09 08:37:10 CDT 2015,32
Thu Apr 09 08:37:11 CDT 2015,32
Thu Apr 09 08:37:12 CDT 2015,32
Thu Apr 09 08:37:13 CDT 2015,48
Thu Apr 09 08:37:14 CDT 2015,48
Thu Apr 09 08:37:15 CDT 2015,48
Thu Apr 09 08:37:16 CDT 2015,32
Thu Apr 09 08:37:17 CDT 2015,32
Thu Apr 09 08:37:18 CDT 2015,48
Thu Apr 09 08:37:19 CDT 2015,48
Thu Apr 09 08:37:20 CDT 2015,48
Thu Apr 09 08:37:21 CDT 2015,48
Thu Apr 09 08:37:22 CDT 2015,48
Thu Apr 09 08:37:23 CDT 2015,32
Thu Apr 09 08:37:24 CDT 2015,32
Thu Apr 09 08:37:25 CDT 2015,32
Thu Apr 09 08:37:26 CDT 2015,48
Thu Apr 09 08:37:27 CDT 2015,48
Thu Apr 09 08:37:28 CDT 2015,48
Thu Apr 09 08:37:29 CDT 2015,48
Thu Apr 09 08:37:30 CDT 2015,48
Thu Apr 09 08:37:31 CDT 2015,48
Thu Apr 09 08:37:32 CDT 2015,32
Thu Apr 09 08:37:33 CDT 2015,32
